abbrev,name,opioid_cat,opioid_type,race_eth,race_cat,deaths,obs_rate,model_rate,apc_print,apc_pval,doubling_time
WA,Washington,Natural and semi-synthetic opioids,natural,nhw,Non-Hispanic White,187,3.2,3.2,"-7 (-9, -4)",<.001,"-14.6 (-10.9, -22.8)"
Wake County (NC),Wake County,Natural and semi-synthetic opioids,natural,nhw,Non-Hispanic White,15,2.2,3.7,"6 (2, 9)",<.01,"17.7 (40.5, 11.2)"
Wayne County (MI),Wayne County,Natural and semi-synthetic opioids,natural,nhw,Non-Hispanic White,52,5.8,6.0,"-13 (-29, 6)",0.15,"-7.1 (-3.0, 17.4)"
Westchester County (NY),Westchester County,Natural and semi-synthetic opioids,natural,nhw,Non-Hispanic White,16,3.7,7.6,"8 (4, 13)",<.001,"12.4 (23.8, 8.4)"
WI,Wisconsin,Natural and semi-synthetic opioids,natural,nhw,Non-Hispanic White,194,4.1,3.9,"-17 (-38, 11)",0.18,"-5.3 (-2.1, 9.8)"
WV,West Virginia,Natural and semi-synthetic opioids,natural,nhw,Non-Hispanic White,165,10.1,13.4,"-7 (-14, 0)",0.06,"-13.8 (-6.6, 200.5)"
WY,Wyoming,Natural and semi-synthetic opioids,natural,nhw,Non-Hispanic White,23,4.3,4.8,"0 (-6, 6)",0.91,"-332.8 (-15.4, 17.2)"
Adams County (CO),Adams County,Natural and semi-synthetic opioids,natural,total,Total,148,4.4,4.6,"0 (-3, 4)",0.83,"333.8 (-34.0, 27.5)"
AK,Alaska,Natural and semi-synthetic opioids,natural,total,Total,42,5.5,5.4,"-2 (-6, 3)",0.45,"-66.2 (-17.7, 37.5)"
AL,Alabama,Natural and semi-synthetic opioids,natural,total,Total,135,2.7,3.0,"12 (4, 21)",<.01,"8.6 (22.7, 5.3)"
Alameda County (CA),Alameda County,Natural and semi-synthetic opioids,natural,total,Total,28,1.5,1.6,"4 (2, 7)",<.01,"24.3 (63.0, 14.8)"
Allegheny County (PA),Allegheny County,Natural and semi-synthetic opioids,natural,total,Total,67,6.0,7.7,"1 (-4, 5)",0.77,"167.2 (-28.1, 20.9)"
AR,Arkansas,Natural and semi-synthetic opioids,natural,total,Total,88,3.1,3.8,"-2 (-4, 1)",0.17,"-58.3 (-23.3, 125.5)"
AZ,Arizona,Natural and semi-synthetic opioids,natural,total,Total,308,4.1,4.2,"-2 (-4, 0)",0.06,"-52.1 (-25.8, 1000.5)"
Baltimore city (MD),Baltimore city,Natural and semi-synthetic opioids,natural,total,Total,105,17.3,14.7,"-12 (-26, 5)",0.15,"-7.9 (-3.3, 19.4)"
Baltimore County (MD),Baltimore County,Natural and semi-synthetic opioids,natural,total,Total,67,7.9,8.1,"-19 (-29, -7)",<.01,"-4.9 (-2.9, -14.4)"
Bexar County (TX),Bexar County,Natural and semi-synthetic opioids,natural,total,Total,21,1.1,1.1,"0 (-4, 4)",0.93,"500.5 (-25.8, 23.8)"
Bronx County (NY),Bronx County,Natural and semi-synthetic opioids,natural,total,Total,69,4.6,4.7,"11 (8, 14)",<.001,"9.9 (13.5, 7.9)"
Broward County (FL),Broward County,Natural and semi-synthetic opioids,natural,total,Total,48,2.4,2.2,"-9 (-14, -3)",<.01,"-11.1 (-6.7, -31.8)"
CA,California,Natural and semi-synthetic opioids,natural,total,Total,917,2.2,2.5,"0 (-1, 2)",0.77,"500.5 (-82.8, 59.3)"
Caddo Parish (LA),Caddo Parish,Natural and semi-synthetic opioids,natural,total,Total,<11,"NA",1.2,"8 (-12, 33)",0.42,"12.8 (-8.0, 3.5)"
Charleston County (SC),Charleston County,Natural and semi-synthetic opioids,natural,total,Total,20,4.4,5.1,"-16 (-48, 35)",0.43,"-5.7 (-1.5, 3.3)"
Chatham County (GA),Chatham County,Natural and semi-synthetic opioids,natural,total,Total,<11,"NA",2.1,"-26 (-52, 14)",0.15,"-3.2 (-1.3, 7.9)"
Clark County (NV),Clark County,Natural and semi-synthetic opioids,natural,total,Total,110,4.6,5.3,"-9 (-13, -5)",<.001,"-10.5 (-7.4, -18.0)"
CO,Colorado,Natural and semi-synthetic opioids,natural,total,Total,232,3.9,3.9,"-2 (-7, 4)",0.52,"-62.0 (-14.4, 27.5)"
Cobb County (GA),Cobb County,Natural and semi-synthetic opioids,natural,total,Total,28,3.3,3.3,"-32 (-67, 37)",0.26,"-2.6 (-0.9, 3.1)"
Contra Costa County (CA),Contra Costa County,Natural and semi-synthetic opioids,natural,total,Total,27,2.1,2.4,"2 (-1, 6)",0.17,"44.0 (-90.4, 18.0)"
Cook County (IL),Cook County,Natural and semi-synthetic opioids,natural,total,Total,192,3.6,3.4,"20 (17, 23)",<.001,"5.6 (6.5, 4.9)"
CT,Connecticut,Natural and semi-synthetic opioids,natural,total,Total,208,5.6,5.3,"2 (-4, 8)",0.47,"48.1 (-25.8, 12.7)"
Cumberland County (NC),Cumberland County,Natural and semi-synthetic opioids,natural,total,Total,13,4.1,6.3,"5 (-1, 11)",0.08,"20.1 (-166.2, 9.4)"
Cuyahoga County (OH),Cuyahoga County,Natural and semi-synthetic opioids,natural,total,Total,42,3.5,5.8,"6 (3, 8)",<.01,"18.7 (39.0, 12.3)"
Dallas County (TX),Dallas County,Natural and semi-synthetic opioids,natural,total,Total,39,1.4,1.7,"7 (4, 10)",<.001,"14.6 (22.7, 10.8)"
Davidson County (TN),Davidson County,Natural and semi-synthetic opioids,natural,total,Total,69,9.6,8.9,"-6 (-14, 3)",0.15,"-16.4 (-6.8, 39.0)"
DC,District of Columbia,Natural and semi-synthetic opioids,natural,total,Total,24,3.4,5.2,"9 (4, 14)",<.01,"11.7 (23.8, 7.8)"
DE,Delaware,Natural and semi-synthetic opioids,natural,total,Total,51,5.4,7.2,"8 (5, 12)",<.001,"12.5 (21.8, 8.8)"
DeKalb County (GA),DeKalb County,Natural and semi-synthetic opioids,natural,total,Total,23,2.9,2.8,"7 (4, 11)",<.001,"14.0 (26.1, 9.5)"
Delaware County (PA),Delaware County,Natural and semi-synthetic opioids,natural,total,Total,22,3.8,3.2,"-33 (-59, 11)",0.11,"-2.5 (-1.1, 9.5)"
District of Columbia (DC),District of Columbia,Natural and semi-synthetic opioids,natural,total,Total,24,3.4,5.2,"9 (4, 14)",<.01,"11.7 (23.8, 7.8)"
Durham County (NC),Durham County,Natural and semi-synthetic opioids,natural,total,Total,<11,"NA",2.0,"4 (0, 8)",0.08,"27.5 (-199.5, 13.0)"
Duval County (FL),Duval County,Natural and semi-synthetic opioids,natural,total,Total,81,8.5,8.3,"-25 (-60, 40)",0.34,"-3.4 (-1.1, 3.0)"
East Baton Rouge Parish (LA),East Baton Rouge Parish,Natural and semi-synthetic opioids,natural,total,Total,<11,"NA",2.0,"14 (6, 23)",<.01,"7.6 (18.4, 4.8)"
Erie County (NY),Erie County,Natural and semi-synthetic opioids,natural,total,Total,25,2.7,2.8,"-35 (-57, 0)",0.05,"-2.4 (-1.2, 1000.5)"
Essex County (NJ),Essex County,Natural and semi-synthetic opioids,natural,total,Total,34,3.9,4.5,"7 (4, 10)",<.001,"15.2 (24.3, 11.0)"
Fairfax County (VA),Fairfax County,Natural and semi-synthetic opioids,natural,total,Total,28,2.3,2.6,"5 (1, 9)",0.02,"21.3 (125.5, 11.6)"
FL,Florida,Natural and semi-synthetic opioids,natural,total,Total,"1,085",5.1,5.6,"7 (1, 14)",0.03,"14.6 (143.4, 7.7)"
Fort Bend County (TX),Fort Bend County,Natural and semi-synthetic opioids,natural,total,Total,<11,"NA",1.2,"-1 (-5, 4)",0.68,"-110.6 (-19.5, 29.1)"
Franklin County (OH),Franklin County,Natural and semi-synthetic opioids,natural,total,Total,52,4.0,4.3,"-23 (-43, 5)",0.09,"-3.9 (-1.8, 19.0)"
Fulton County (GA),Fulton County,Natural and semi-synthetic opioids,natural,total,Total,26,2.3,2.6,"-6 (-13, 1)",0.08,"-15.1 (-7.1, 111.6)"
GA,Georgia,Natural and semi-synthetic opioids,natural,total,Total,361,3.3,3.2,"-17 (-38, 10)",0.18,"-5.3 (-2.1, 10.1)"
Guilford County (NC),Guilford County,Natural and semi-synthetic opioids,natural,total,Total,16,2.9,4.0,"4 (1, 8)",0.01,"23.2 (91.4, 13.2)"
Gwinnett County (GA),Gwinnett County,Natural and semi-synthetic opioids,natural,total,Total,18,1.9,3.2,"6 (3, 8)",<.001,"18.4 (29.9, 13.2)"
Hamilton County (OH),Hamilton County,Natural and semi-synthetic opioids,natural,total,Total,42,4.9,4.3,"-35 (-59, 2)",0.06,"-2.3 (-1.1, 56.1)"
Harris County (TX),Harris County,Natural and semi-synthetic opioids,natural,total,Total,112,2.3,2.1,"-7 (-10, -4)",<.001,"-13.4 (-9.3, -23.9)"
Hartford County (CT),Hartford County,Natural and semi-synthetic opioids,natural,total,Total,44,4.8,4.4,"-4 (-15, 9)",0.50,"-25.1 (-6.1, 11.9)"
Hennepin County (MN),Hennepin County,Natural and semi-synthetic opioids,natural,total,Total,29,2.2,2.0,"-16 (-34, 6)",0.13,"-5.6 (-2.4, 15.9)"
HI,Hawaii,Natural and semi-synthetic opioids,natural,total,Total,24,1.5,1.8,"-7 (-12, -2)",0.02,"-14.4 (-8.1, -66.2)"
Hillsborough County (FL),Hillsborough County,Natural and semi-synthetic opioids,natural,total,Total,66,4.3,4.7,"-1 (-11, 10)",0.80,"-82.8 (-8.7, 11.0)"
IA,Iowa,Natural and semi-synthetic opioids,natural,total,Total,53,1.7,2.3,"-4 (-8, 0)",0.05,"-25.1 (-12.7, Inf)"
ID,Idaho,Natural and semi-synthetic opioids,natural,total,Total,75,4.1,4.0,"5 (3, 6)",<.001,"22.2 (30.8, 17.4)"
IL,Illinois,Natural and semi-synthetic opioids,natural,total,Total,420,3.3,3.2,"-7 (-26, 16)",0.47,"-13.6 (-3.4, 6.8)"
IN,Indiana,Natural and semi-synthetic opioids,natural,total,Total,354,5.5,5.3,"-2 (-19, 18)",0.80,"-45.0 (-4.8, 6.0)"
Jackson County (MO),Jackson County,Natural and semi-synthetic opioids,natural,total,Total,21,3.0,3.3,"-7 (-13, -1)",0.03,"-14.0 (-7.4, -110.6)"
Jefferson County (AL),Jefferson County,Natural and semi-synthetic opioids,natural,total,Total,27,3.9,5.0,"5 (2, 9)",<.01,"20.1 (59.3, 12.0)"
Jefferson County (KY),Jefferson County,Natural and semi-synthetic opioids,natural,total,Total,73,9.7,9.2,"9 (4, 14)",<.01,"12.0 (25.5, 7.8)"
Jefferson Parish (LA),Jefferson Parish,Natural and semi-synthetic opioids,natural,total,Total,42,9.3,8.9,"11 (7, 15)",<.001,"9.8 (15.2, 7.2)"
King County (WA),King County,Natural and semi-synthetic opioids,natural,total,Total,55,2.2,2.1,"-5 (-7, -4)",<.001,"-18.4 (-14.2, -26.5)"
Kings County (NY),Kings County,Natural and semi-synthetic opioids,natural,total,Total,66,2.3,2.7,"3 (1, 5)",0.02,"37.5 (167.2, 20.9)"
KS,Kansas,Natural and semi-synthetic opioids,natural,total,Total,68,2.4,2.4,"-5 (-11, 1)",0.09,"-19.1 (-8.7, 111.6)"
KY,Kentucky,Natural and semi-synthetic opioids,natural,total,Total,321,7.3,7.4,"-4 (-8, 0)",0.03,"-24.5 (-12.8, -249.5)"
LA,Louisiana,Natural and semi-synthetic opioids,natural,total,Total,170,3.7,3.7,"13 (8, 17)",<.001,"8.4 (12.3, 6.3)"
Lake County (IN),Lake County,Natural and semi-synthetic opioids,natural,total,Total,35,7.6,7.6,"20 (14, 27)",<.001,"5.5 (7.8, 4.2)"
Los Angeles County (CA),Los Angeles County,Natural and semi-synthetic opioids,natural,total,Total,160,1.5,1.6,"1 (-1, 2)",0.46,"167.2 (-99.5, 46.0)"
MA,Massachusetts,Natural and semi-synthetic opioids,natural,total,Total,228,3.2,3.7,"4 (2, 6)",<.001,"22.7 (40.5, 15.9)"
Maricopa County (AZ),Maricopa County,Natural and semi-synthetic opioids,natural,total,Total,204,4.4,5.4,"10 (4, 15)",<.01,"10.9 (24.3, 7.0)"
Marion County (IN),Marion County,Natural and semi-synthetic opioids,natural,total,Total,81,8.8,9.9,"37 (23, 54)",<.001,"3.1 (4.9, 2.3)"
MD,Maryland,Natural and semi-synthetic opioids,natural,total,Total,432,6.9,6.5,"-13 (-22, -3)",0.02,"-7.1 (-4.0, -34.0)"
ME,Maine,Natural and semi-synthetic opioids,natural,total,Total,50,3.8,3.2,"-28 (-47, -2)",0.04,"-3.0 (-1.6, -39.5)"
Mecklenburg County (NC),Mecklenburg County,Natural and semi-synthetic opioids,natural,total,Total,<11,"NA",2.8,"5 (0, 10)",0.07,"21.8 (-332.8, 10.5)"
MI,Michigan,Natural and semi-synthetic opioids,natural,total,Total,361,3.6,3.8,"-12 (-18, -6)",<.01,"-7.8 (-5.0, -17.7)"
Miami-Dade County (FL),Miami-Dade County,Natural and semi-synthetic opioids,natural,total,Total,60,2.2,2.0,"-14 (-40, 25)",0.40,"-6.8 (-1.9, 4.5)"
Milwaukee County (WI),Milwaukee County,Natural and semi-synthetic opioids,natural,total,Total,68,7.4,8.1,"-5 (-11, 0)",0.06,"-18.4 (-8.9, 250.5)"
MN,Minnesota,Natural and semi-synthetic opioids,natural,total,Total,108,2.0,2.3,"2 (-2, 5)",0.36,"67.2 (-55.1, 20.9)"
MO,Missouri,Natural and semi-synthetic opioids,natural,total,Total,220,3.6,3.7,"-1 (-3, 2)",0.56,"-166.2 (-34.0, 59.3)"
Mobile County (AL),Mobile County,Natural and semi-synthetic opioids,natural,total,Total,<11,"NA",2.6,"1 (-3, 5)",0.76,"167.2 (-28.9, 21.3)"
Monroe County (NY),Monroe County,Natural and semi-synthetic opioids,natural,total,Total,35,4.6,4.9,"8 (5, 11)",<.001,"12.7 (20.1, 9.3)"
Montgomery County (MD),Montgomery County,Natural and semi-synthetic opioids,natural,total,Total,57,2.8,3.6,"11 (8, 13)",<.001,"9.8 (12.3, 8.2)"
Montgomery County (OH),Montgomery County,Natural and semi-synthetic opioids,natural,total,Total,13,2.5,2.0,"-64 (-87, 2)",0.05,"-1.0 (-0.5, 56.1)"
MS,Mississippi,Natural and semi-synthetic opioids,natural,total,Total,91,3.0,3.1,"6 (3, 9)",<.001,"16.6 (31.7, 11.5)"
MT,Montana,Natural and semi-synthetic opioids,natural,total,Total,25,2.3,1.9,"-8 (-14, -1)",0.03,"-12.0 (-6.4, -82.8)"
Nassau County (NY),Nassau County,Natural and semi-synthetic opioids,natural,total,Total,62,4.4,5.2,"4 (2, 6)",<.001,"26.8 (53.1, 18.4)"
NC,North Carolina,Natural and semi-synthetic opioids,natural,total,Total,360,3.4,3.4,"-18 (-30, -5)",0.01,"-4.9 (-2.8, -18.0)"
ND,North Dakota,Natural and semi-synthetic opioids,natural,total,Total,24,3.3,3.0,"9 (5, 13)",<.001,"11.5 (19.4, 8.1)"
NE,Nebraska,Natural and semi-synthetic opioids,natural,total,Total,35,1.9,2.1,"4 (2, 7)",<.01,"22.7 (53.1, 14.6)"
New Castle County (DE),New Castle County,Natural and semi-synthetic opioids,natural,total,Total,29,5.0,7.0,"12 (8, 16)",<.001,"9.1 (13.7, 6.9)"
New Haven County (CT),New Haven County,Natural and semi-synthetic opioids,natural,total,Total,67,7.2,8.0,"16 (13, 19)",<.001,"6.8 (8.4, 5.7)"
New York County (NY),New York County,Natural and semi-synthetic opioids,natural,total,Total,53,2.7,3.2,"8 (6, 10)",<.001,"13.5 (18.4, 10.7)"
NH,New Hampshire,Natural and semi-synthetic opioids,natural,total,Total,38,2.8,2.6,"-15 (-25, -4)",0.01,"-6.2 (-3.5, -24.5)"
NJ,New Jersey,Natural and semi-synthetic opioids,natural,total,Total,360,3.9,4.5,"9 (7, 11)",<.001,"11.7 (14.6, 9.8)"
NM,New Mexico,Natural and semi-synthetic opioids,natural,total,Total,140,6.9,8.4,"1 (-1, 3)",0.27,"100.5 (-124.5, 35.0)"
Norfolk city (VA),Norfolk city,Natural and semi-synthetic opioids,natural,total,Total,<11,"NA",4.0,"2 (-3, 6)",0.43,"63.0 (-38.0, 17.2)"
NV,Nevada,Natural and semi-synthetic opioids,natural,total,Total,168,5.2,5.9,"-7 (-10, -4)",<.001,"-13.0 (-9.0, -23.3)"
NY,New York,Natural and semi-synthetic opioids,natural,total,Total,709,3.5,3.5,"-8 (-28, 18)",0.46,"-11.7 (-3.0, 6.1)"
Oakland County (MI),Oakland County,Natural and semi-synthetic opioids,natural,total,Total,<11,"NA",0.7,"0 (-3, 4)",0.86,"333.8 (-29.8, 24.9)"
OH,Ohio,Natural and semi-synthetic opioids,natural,total,Total,410,3.7,3.3,"-35 (-56, -4)",0.03,"-2.3 (-1.2, -25.8)"
OK,Oklahoma,Natural and semi-synthetic opioids,natural,total,Total,114,2.9,3.4,"-19 (-26, -11)",<.001,"-4.7 (-3.3, -8.3)"
Oklahoma County (OK),Oklahoma County,Natural and semi-synthetic opioids,natural,total,Total,27,3.5,3.2,"-17 (-22, -11)",<.001,"-5.4 (-4.0, -8.3)"
OR,Oregon,Natural and semi-synthetic opioids,natural,total,Total,102,2.2,2.4,"-6 (-10, -1)",0.02,"-16.7 (-9.3, -90.4)"
Orange County (FL),Orange County,Natural and semi-synthetic opioids,natural,total,Total,42,2.9,2.9,"-9 (-12, -6)",<.001,"-11.0 (-8.1, -16.7)"
Orleans Parish (LA),Orleans Parish,Natural and semi-synthetic opioids,natural,total,Total,<11,"NA",0.7,"2 (-3, 7)",0.45,"56.1 (-32.8, 15.0)"
PA,Pennsylvania,Natural and semi-synthetic opioids,natural,total,Total,505,4.1,4.3,"-3 (-14, 9)",0.57,"-30.7 (-6.7, 11.7)"
Palm Beach County (FL),Palm Beach County,Natural and semi-synthetic opioids,natural,total,Total,114,7.9,8.5,"33 (21, 47)",<.001,"3.5 (5.2, 2.6)"
Philadelphia County (PA),Philadelphia County,Natural and semi-synthetic opioids,natural,total,Total,126,7.9,10.2,"90 (27, 185)",<.01,"1.6 (4.1, 1.0)"
Pulaski County (AR),Pulaski County,Natural and semi-synthetic opioids,natural,total,Total,17,3.9,5.4,"5 (1, 8)",0.01,"22.2 (100.5, 12.5)"
Queens County (NY),Queens County,Natural and semi-synthetic opioids,natural,total,Total,46,1.8,2.1,"4 (2, 6)",<.01,"24.3 (53.1, 15.9)"
RI,Rhode Island,Natural and semi-synthetic opioids,natural,total,Total,42,4.0,4.4,"-17 (-30, -2)",0.03,"-5.4 (-2.8, -55.1)"
Richland County (SC),Richland County,Natural and semi-synthetic opioids,natural,total,Total,19,5.1,6.0,"13 (9, 17)",<.001,"8.1 (11.2, 6.4)"
Riverside County (CA),Riverside County,Natural and semi-synthetic opioids,natural,total,Total,46,1.9,1.4,"-7 (-13, -2)",0.02,"-13.2 (-7.2, -66.2)"
Sacramento County (CA),Sacramento County,Natural and semi-synthetic opioids,natural,total,Total,48,2.9,1.9,"-3 (-6, 0)",0.05,"-31.8 (-15.6, Inf)"
San Bernardino County (CA),San Bernardino County,Natural and semi-synthetic opioids,natural,total,Total,21,1.0,1.1,"27 (-6, 71)",0.10,"4.2 (-17.4, 1.9)"
San Diego County (CA),San Diego County,Natural and semi-synthetic opioids,natural,total,Total,82,2.3,2.7,"-7 (-10, -4)",<.001,"-14.0 (-9.9, -23.9)"
SC,South Carolina,Natural and semi-synthetic opioids,natural,total,Total,331,6.6,8.2,"11 (9, 13)",<.001,"9.3 (11.2, 8.0)"
SD,South Dakota,Natural and semi-synthetic opioids,natural,total,Total,15,1.7,1.9,"-3 (-8, 3)",0.30,"-38.0 (-12.7, 37.5)"
Shelby County (TN),Shelby County,Natural and semi-synthetic opioids,natural,total,Total,48,5.3,4.9,"0 (-5, 6)",0.92,"333.8 (-20.3, 18.4)"
St. Louis city (MO),St. Louis city,Natural and semi-synthetic opioids,natural,total,Total,17,4.8,7.9,"6 (2, 9)",<.01,"18.7 (42.2, 12.0)"
St. Louis County (MO),St. Louis County,Natural and semi-synthetic opioids,natural,total,Total,41,4.3,4.5,"6 (4, 8)",<.001,"18.0 (25.5, 13.8)"
Suffolk County (MA),Suffolk County,Natural and semi-synthetic opioids,natural,total,Total,25,2.9,3.6,"4 (1, 6)",<.01,"26.1 (71.9, 16.1)"
Suffolk County (NY),Suffolk County,Natural and semi-synthetic opioids,natural,total,Total,87,6.1,6.6,"2 (-3, 6)",0.47,"63.0 (-34.0, 16.6)"
Tarrant County (TX),Tarrant County,Natural and semi-synthetic opioids,natural,total,Total,17,0.8,1.2,"-2 (-4, 1)",0.18,"-55.1 (-22.8, 111.6)"
TN,Tennessee,Natural and semi-synthetic opioids,natural,total,Total,469,6.9,6.7,"-13 (-21, -4)",0.01,"-7.2 (-4.2, -27.3)"
TX,Texas,Natural and semi-synthetic opioids,natural,total,Total,447,1.5,1.6,"-3 (-4, -2)",<.001,"-35.2 (-23.3, -66.2)"
Union County (NJ),Union County,Natural and semi-synthetic opioids,natural,total,Total,16,2.8,3.8,"10 (6, 13)",<.001,"10.8 (16.6, 8.0)"
UT,Utah,Natural and semi-synthetic opioids,natural,total,Total,257,8.6,8.6,"-9 (-13, -5)",<.01,"-10.7 (-7.1, -21.2)"
VA,Virginia,Natural and semi-synthetic opioids,natural,total,Total,245,2.8,2.7,"-13 (-26, 2)",0.08,"-7.2 (-3.4, 56.1)"
VT,Vermont,Natural and semi-synthetic opioids,natural,total,Total,22,3.7,3.9,"-1 (-3, 2)",0.53,"-142.4 (-32.8, 63.0)"
WA,Washington,Natural and semi-synthetic opioids,natural,total,Total,204,2.5,2.8,"-5 (-6, -3)",<.001,"-20.3 (-15.6, -28.9)"
Wake County (NC),Wake County,Natural and semi-synthetic opioids,natural,total,Total,21,1.8,2.7,"6 (2, 9)",<.01,"18.7 (48.1, 11.7)"
Wayne County (MI),Wayne County,Natural and semi-synthetic opioids,natural,total,Total,83,4.7,4.7,"-14 (-24, -2)",0.03,"-6.8 (-3.6, -47.1)"
Westchester County (NY),Westchester County,Natural and semi-synthetic opioids,natural,total,Total,22,2.4,4.6,"7 (3, 11)",<.01,"15.2 (33.8, 9.9)"
WI,Wisconsin,Natural and semi-synthetic opioids,natural,total,Total,237,4.0,3.9,"-16 (-34, 6)",0.12,"-5.5 (-2.4, 17.7)"
WV,West Virginia,Natural and semi-synthetic opioids,natural,total,Total,174,9.9,13.0,"-7 (-14, 0)",0.07,"-14.0 (-6.8, 200.5)"
WY,Wyoming,Natural and semi-synthetic opioids,natural,total,Total,27,4.4,4.7,"-1 (-8, 6)",0.74,"-90.4 (-12.0, 16.6)"
Adams County (CO),Adams County,All opioids,opioid,nhb,Non-Hispanic Black,30,16.2,16.4,"66 (-27, 277)",0.21,"2.0 (-3.2, 0.8)"
AK,Alaska,All opioids,opioid,nhb,Non-Hispanic Black,<11,"NA",22.0,"38 (20, 59)",<.001,"3.1 (5.6, 2.2)"
AL,Alabama,All opioids,opioid,nhb,Non-Hispanic Black,65,5.0,4.9,"-7 (-36, 36)",0.70,"-14.6 (-2.3, 3.3)"
Alameda County (CA),Alameda County,All opioids,opioid,nhb,Non-Hispanic Black,33,16.7,10.2,"7 (4, 10)",<.001,"15.2 (29.1, 10.2)"
Allegheny County (PA),Allegheny County,All opioids,opioid,nhb,Non-Hispanic Black,78,48.9,43.9,"-9 (-40, 38)",0.64,"-10.9 (-2.0, 3.1)"
AR,Arkansas,All opioids,opioid,nhb,Non-Hispanic Black,26,5.9,5.5,"25 (10, 42)",<.01,"4.5 (11.0, 2.9)"
AZ,Arizona,All opioids,opioid,nhb,Non-Hispanic Black,78,21.3,20.3,"35 (23, 49)",<.001,"3.3 (4.8, 2.5)"
Baltimore city (MD),Baltimore city,All opioids,opioid,nhb,Non-Hispanic Black,487,117.6,126.1,"27 (22, 32)",<.001,"4.2 (5.0, 3.6)"
Baltimore County (MD),Baltimore County,All opioids,opioid,nhb,Non-Hispanic Black,92,35.4,37.7,"8 (-9, 29)",0.34,"12.7 (-10.1, 3.9)"
Bexar County (TX),Bexar County,All opioids,opioid,nhb,Non-Hispanic Black,<11,"NA",4.8,"0 (-7, 7)",0.96,"-499.5 (-13.6, 14.2)"
Bronx County (NY),Bronx County,All opioids,opioid,nhb,Non-Hispanic Black,91,19.3,21.4,"27 (16, 40)",<.001,"4.2 (6.9, 3.0)"
Broward County (FL),Broward County,All opioids,opioid,nhb,Non-Hispanic Black,24,4.5,4.1,"13 (10, 17)",<.001,"8.0 (10.9, 6.3)"
CA,California,All opioids,opioid,nhb,Non-Hispanic Black,301,11.6,11.4,"50 (6, 114)",0.03,"2.5 (17.7, 1.3)"
Charleston County (SC),Charleston County,All opioids,opioid,nhb,Non-Hispanic Black,19,19.2,17.5,"21 (14, 28)",<.001,"5.3 (7.6, 4.1)"
Chatham County (GA),Chatham County,All opioids,opioid,nhb,Non-Hispanic Black,<11,"NA",5.3,"19 (11, 28)",<.001,"5.8 (9.7, 4.1)"
Clark County (NV),Clark County,All opioids,opioid,nhb,Non-Hispanic Black,33,11.3,10.9,"0 (-2, 2)",0.80,"-499.5 (-47.1, 59.3)"
CO,Colorado,All opioids,opioid,nhb,Non-Hispanic Black,41,15.6,15.1,"57 (-34, 276)",0.29,"2.2 (-2.4, 0.8)"
Cobb County (GA),Cobb County,All opioids,opioid,nhb,Non-Hispanic Black,12,5.3,5.2,"14 (8, 20)",<.001,"7.7 (12.3, 5.6)"
Contra Costa County (CA),Contra Costa County,All opioids,opioid,nhb,Non-Hispanic Black,14,10.7,13.0,"32 (1, 73)",0.05,"3.6 (167.2, 1.8)"
Cook County (IL),Cook County,All opioids,opioid,nhb,Non-Hispanic Black,544,41.7,44.4,"25 (16, 34)",<.001,"4.5 (6.9, 3.4)"
CT,Connecticut,All opioids,opioid,nhb,Non-Hispanic Black,110,26.5,29.3,"34 (26, 42)",<.001,"3.4 (4.3, 2.8)"
Cumberland County (NC),Cumberland County,All opioids,opioid,nhb,Non-Hispanic Black,22,17.0,15.7,"34 (23, 46)",<.001,"3.4 (4.9, 2.6)"
Cuyahoga County (OH),Cuyahoga County,All opioids,opioid,nhb,Non-Hispanic Black,120,30.4,29.2,"21 (17, 26)",<.001,"5.2 (6.4, 4.4)"
Dallas County (TX),Dallas County,All opioids,opioid,nhb,Non-Hispanic Black,41,6.0,4.8,"6 (4, 9)",<.001,"16.9 (28.3, 12.0)"
Davidson County (TN),Davidson County,All opioids,opioid,nhb,Non-Hispanic Black,68,35.5,26.8,"23 (18, 29)",<.001,"4.8 (6.2, 4.0)"
DC,District of Columbia,All opioids,opioid,nhb,Non-Hispanic Black,219,61.5,59.7,"8 (-12, 33)",0.43,"12.7 (-7.7, 3.5)"
DE,Delaware,All opioids,opioid,nhb,Non-Hispanic Black,65,30.7,30.4,"34 (23, 47)",<.001,"3.4 (4.9, 2.6)"
DeKalb County (GA),DeKalb County,All opioids,opioid,nhb,Non-Hispanic Black,27,6.8,5.7,"16 (13, 19)",<.001,"6.7 (8.4, 5.6)"
Delaware County (PA),Delaware County,All opioids,opioid,nhb,Non-Hispanic Black,20,16.7,14.6,"29 (23, 36)",<.001,"3.9 (4.9, 3.3)"
District of Columbia (DC),District of Columbia,All opioids,opioid,nhb,Non-Hispanic Black,219,61.5,59.7,"8 (-12, 33)",0.43,"12.7 (-7.7, 3.5)"
Durham County (NC),Durham County,All opioids,opioid,nhb,Non-Hispanic Black,17,14.9,10.2,"10 (5, 15)",<.01,"10.9 (21.8, 7.3)"
Duval County (FL),Duval County,All opioids,opioid,nhb,Non-Hispanic Black,40,14.6,14.7,"25 (18, 32)",<.001,"4.5 (6.0, 3.6)"
Erie County (NY),Erie County,All opioids,opioid,nhb,Non-Hispanic Black,16,13.1,20.1,"16 (8, 25)",<.001,"6.6 (12.3, 4.5)"
