abbrev,name,opioid_cat,opioid_type,race_eth,race_cat,deaths,obs_rate,model_rate,apc,apc_lower,apc_upper,apc_pval,doubling_time
IL,Illinois,All opioids,opioid,nhw,Non-Hispanic White,1287,17.60762514098632,19.56,10,9.1,10.9,0,"7.3 (8.0, 6.7)"
IN,Indiana,All opioids,opioid,nhw,Non-Hispanic White,1089,22.195746866610676,21.73,6.8,-8.5,24.8,0.365,"10.5 (-7.8, 3.1)"
Jackson County (MO),Jackson County,All opioids,opioid,nhw,Non-Hispanic White,40,9.03492550459337,9.950000000000001,-1,-4.3,2.5,0.565,"-69.0 (-15.8, 28.1)"
Jefferson County (AL),Jefferson County,All opioids,opioid,nhw,Non-Hispanic White,102,32.24761489510268,30.67,-8,-28.2,17.8,0.484,"-8.3 (-2.1, 4.2)"
Jefferson County (KY),Jefferson County,All opioids,opioid,nhw,Non-Hispanic White,221,45.3390576889866,52.97,22.6,19.1,26.3,0,"3.4 (4.0, 3.0)"
Jefferson Parish (LA),Jefferson Parish,All opioids,opioid,nhw,Non-Hispanic White,93,42.883367262830546,48.379999999999995,11.3,4.5,18.5,0.004,"6.5 (15.7, 4.1)"
King County (WA),King County,All opioids,opioid,nhw,Non-Hispanic White,217,14.675741897559961,12.84,2.5,1.6,3.4,0,"28.1 (43.7, 20.7)"
Kings County (NY),Kings County,All opioids,opioid,nhw,Non-Hispanic White,95,9.690921982038128,9.719999999999999,-11.1,-23.6,3.6,0.117,"-5.9 (-2.6, 19.6)"
KS,Kansas,All opioids,opioid,nhw,Non-Hispanic White,146,6.920460020226282,6.930000000000001,2.6,0.5,4.8,0.018,"27.0 (139.0, 14.8)"
KY,Kentucky,All opioids,opioid,nhw,Non-Hispanic White,936,26.363476121050304,25.53,-6.9,-25.1,15.8,0.493,"-9.7 (-2.4, 4.7)"
LA,Louisiana,All opioids,opioid,nhw,Non-Hispanic White,441,16.820686125953088,16.439999999999998,17,13.4,20.7,0,"4.4 (5.5, 3.7)"
Lake County (IN),Lake County,All opioids,opioid,nhw,Non-Hispanic White,93,38.646006481529646,37.39,21.8,18.1,25.5,0,"3.5 (4.2, 3.1)"
Los Angeles County (CA),Los Angeles County,All opioids,opioid,nhw,Non-Hispanic White,351,12.419871857317668,12.27,20.8,6,37.7,0.007,"3.7 (11.9, 2.2)"
MA,Massachusetts,All opioids,opioid,nhw,Non-Hispanic White,1547,32.59054711739048,32.52,-1.5,-10.4,8.3,0.734,"-45.9 (-6.3, 8.7)"
Maricopa County (AZ),Maricopa County,All opioids,opioid,nhw,Non-Hispanic White,529,22.119314970208936,22.4,18.6,15.4,21.9,0,"4.1 (4.8, 3.5)"
Marion County (IN),Marion County,All opioids,opioid,nhw,Non-Hispanic White,220,42.281945208163485,43.24,17.2,5,30.9,0.009,"4.4 (14.2, 2.6)"
MD,Maryland,All opioids,opioid,nhw,Non-Hispanic White,1188,40.600116747773825,40.97,-6.9,-18.1,5.8,0.25,"-9.7 (-3.5, 12.3)"
ME,Maine,All opioids,opioid,nhw,Non-Hispanic White,306,26.86022882374687,26.150000000000002,-1.2,-12.9,12.1,0.836,"-57.4 (-5.0, 6.1)"
Mecklenburg County (NC),Mecklenburg County,All opioids,opioid,nhw,Non-Hispanic White,108,19.50998615991232,19.09,-7.6,-28.7,19.8,0.523,"-8.8 (-2.0, 3.8)"
MI,Michigan,All opioids,opioid,nhw,Non-Hispanic White,1253,17.938648843193597,18.27,-10,-22.4,4.3,0.141,"-6.6 (-2.7, 16.5)"
Miami-Dade County (FL),Miami-Dade County,All opioids,opioid,nhw,Non-Hispanic White,83,25.386375154019262,23.74,-0.6,-17.8,20.2,0.946,"-115.2 (-3.5, 3.8)"
Milwaukee County (WI),Milwaukee County,All opioids,opioid,nhw,Non-Hispanic White,207,40.543194329980864,40.93,3.7,-5.7,14.1,0.422,"19.1 (-11.8, 5.3)"
MN,Minnesota,All opioids,opioid,nhw,Non-Hispanic White,286,6.596067503206283,6.91,3.7,1.6,5.8,0.002,"19.1 (43.7, 12.3)"
MO,Missouri,All opioids,opioid,nhw,Non-Hispanic White,760,16.418967033458685,17.310000000000002,6.4,5.1,7.8,0,"11.2 (13.9, 9.2)"
Mobile County (AL),Mobile County,All opioids,opioid,nhw,Non-Hispanic White,20,9.003024284393947,9.78,8.1,1.9,14.7,0.015,"8.9 (36.8, 5.1)"
Monroe County (NY),Monroe County,All opioids,opioid,nhw,Non-Hispanic White,120,23.935221494127834,31.62,18.8,15.2,22.6,0,"4.0 (4.9, 3.4)"
Montgomery County (MD),Montgomery County,All opioids,opioid,nhw,Non-Hispanic White,101,19.362760632008023,18.89,-1.4,-12,10.4,0.789,"-49.2 (-5.4, 7.0)"
Montgomery County (OH),Montgomery County,All opioids,opioid,nhw,Non-Hispanic White,171,49.415550385257184,44.03,-35,-50.7,-14.3,0.006,"-1.6 (-1.0, -4.5)"
MS,Mississippi,All opioids,opioid,nhw,Non-Hispanic White,208,12.65169376691836,12.350000000000001,12.3,8.5,16.3,0,"6.0 (8.5, 4.6)"
MT,Montana,All opioids,opioid,nhw,Non-Hispanic White,57,6.708914902325602,6.99,33,-14.8,107.4,0.189,"2.4 (-4.3, 1.0)"
Nassau County (NY),Nassau County,All opioids,opioid,nhw,Non-Hispanic White,140,19.791475634630718,25.1,8.7,6.4,11.2,0,"8.3 (11.2, 6.5)"
NC,North Carolina,All opioids,opioid,nhw,Non-Hispanic White,1460,23.5508777734118,23.130000000000003,-7.4,-21.2,8.7,0.308,"-9.0 (-2.9, 8.3)"
ND,North Dakota,All opioids,opioid,nhw,Non-Hispanic White,32,5.065706807272038,5.92,8.9,4.8,13.2,0,"8.1 (14.8, 5.6)"
NE,Nebraska,All opioids,opioid,nhw,Non-Hispanic White,57,3.7915517291522334,4.23,5.5,2.9,8.2,0,"12.9 (24.2, 8.8)"
New Castle County (DE),New Castle County,All opioids,opioid,nhw,Non-Hispanic White,179,59.13152386504827,65.83,33,14.3,54.7,0.001,"2.4 (5.2, 1.6)"
New Haven County (CT),New Haven County,All opioids,opioid,nhw,Non-Hispanic White,226,44.87316779113476,43,6.1,-7,21,0.349,"11.7 (-9.6, 3.6)"
New York County (NY),New York County,All opioids,opioid,nhw,Non-Hispanic White,84,8.94976557549832,9.93,9.6,4.5,14.9,0.001,"7.6 (15.7, 5.0)"
NH,New Hampshire,All opioids,opioid,nhw,Non-Hispanic White,349,31.207838613552322,33.57,-1.3,-9.5,7.5,0.732,"-53.0 (-6.9, 9.6)"
NJ,New Jersey,All opioids,opioid,nhw,Non-Hispanic White,1607,36.36986532923815,42.67,24.6,20.7,28.7,0,"3.2 (3.7, 2.7)"
NM,New Mexico,All opioids,opioid,nhw,Non-Hispanic White,122,16.41588184414482,19.12,4.5,3.4,5.6,0,"15.7 (20.7, 12.7)"
Norfolk city (VA),Norfolk city,All opioids,opioid,nhw,Non-Hispanic White,24,19.7805979491878,33.690000000000005,10,5.8,14.4,0,"7.3 (12.3, 5.2)"
NV,Nevada,All opioids,opioid,nhw,Non-Hispanic White,271,16.83637376715918,17.959999999999997,-3.1,-4.2,-1.9,0,"-22.0 (-16.2, -36.1)"
NY,New York,All opioids,opioid,nhw,Non-Hispanic White,1791,17.288172866548727,17.37,-7.6,-33,27.6,0.612,"-8.8 (-1.7, 2.8)"
Oakland County (MI),Oakland County,All opioids,opioid,nhw,Non-Hispanic White,30,3.9318181108038206,6.55,15.9,10.7,21.4,0,"4.7 (6.8, 3.6)"
OH,Ohio,All opioids,opioid,nhw,Non-Hispanic White,2812,33.07667798079286,31.05,-15.1,-28.9,1.4,0.068,"-4.2 (-2.0, 49.9)"
OK,Oklahoma,All opioids,opioid,nhw,Non-Hispanic White,211,7.98179965528506,8.38,-11.7,-18.1,-4.7,0.004,"-5.6 (-3.5, -14.4)"
Oklahoma County (OK),Oklahoma County,All opioids,opioid,nhw,Non-Hispanic White,50,10.335491806582839,9.93,-7.4,-11.8,-2.9,0.004,"-9.0 (-5.5, -23.6)"
OR,Oregon,All opioids,opioid,nhw,Non-Hispanic White,288,8.583839440235923,8.41,-2.4,-3.7,-1.1,0.001,"-28.5 (-18.4, -62.7)"
Orange County (FL),Orange County,All opioids,opioid,nhw,Non-Hispanic White,157,27.2689235583121,26.18,11.1,8,14.4,0,"6.6 (9.0, 5.2)"
Orleans Parish (LA),Orleans Parish,All opioids,opioid,nhw,Non-Hispanic White,17,12.742497426778929,10.49,-3.4,-11.3,5.1,0.378,"-20.0 (-5.8, 13.9)"
PA,Pennsylvania,All opioids,opioid,nhw,Non-Hispanic White,2261,25.43218656647489,25.37,-1.1,-15.9,16.4,0.89,"-62.7 (-4.0, 4.6)"
Palm Beach County (FL),Palm Beach County,All opioids,opioid,nhw,Non-Hispanic White,318,51.12171569251648,47.790000000000006,-7.2,-28.5,20.6,0.55,"-9.3 (-2.1, 3.7)"
Philadelphia County (PA),Philadelphia County,All opioids,opioid,nhw,Non-Hispanic White,399,68.75851467342953,96.41000000000001,113.3,34.4,238.7,0.003,"0.9 (2.3, 0.6)"
Pulaski County (AR),Pulaski County,All opioids,opioid,nhw,Non-Hispanic White,32,14.918755942005914,14.450000000000001,5.8,3.3,8.4,0,"12.3 (21.3, 8.6)"
Queens County (NY),Queens County,All opioids,opioid,nhw,Non-Hispanic White,95,16.79426144549643,16.24,5,3.5,6.6,0,"14.2 (20.1, 10.8)"
RI,Rhode Island,All opioids,opioid,nhw,Non-Hispanic White,188,25.41138823897695,26.479999999999997,-6.4,-20.4,9.9,0.38,"-10.5 (-3.0, 7.3)"
Richland County (SC),Richland County,All opioids,opioid,nhw,Non-Hispanic White,36,22.021600901105387,26.18,17.6,12.7,22.7,0,"4.3 (5.8, 3.4)"
Riverside County (CA),Riverside County,All opioids,opioid,nhw,Non-Hispanic White,126,15.777093024379283,15.15,30.2,-8.4,85,0.129,"2.6 (-7.9, 1.1)"
Sacramento County (CA),Sacramento County,All opioids,opioid,nhw,Non-Hispanic White,76,10.030998965961526,10.02,68.7,4,173.7,0.036,"1.3 (17.7, 0.7)"
San Bernardino County (CA),San Bernardino County,All opioids,opioid,nhw,Non-Hispanic White,55,9.407622922586944,10,45.3,10.3,91.4,0.012,"1.9 (7.1, 1.1)"
San Diego County (CA),San Diego County,All opioids,opioid,nhw,Non-Hispanic White,220,13.158713877956023,11.78,0.3,-1.2,1.7,0.705,"231.4 (-57.4, 41.1)"
SC,South Carolina,All opioids,opioid,nhw,Non-Hispanic White,733,23.752823582497015,25.439999999999998,13.2,11.6,14.9,0,"5.6 (6.3, 5.0)"
SD,South Dakota,All opioids,opioid,nhw,Non-Hispanic White,27,3.7275677399031206,3.9899999999999998,-0.2,-4.1,3.9,0.922,"-346.2 (-16.6, 18.1)"
Shelby County (TN),Shelby County,All opioids,opioid,nhw,Non-Hispanic White,117,36.92862880034475,40.14,13.2,10.1,16.4,0,"5.6 (7.2, 4.6)"
St. Louis city (MO),St. Louis city,All opioids,opioid,nhw,Non-Hispanic White,86,59.40151367744177,61.21,10.2,7.6,12.7,0,"7.1 (9.5, 5.8)"
St. Louis County (MO),St. Louis County,All opioids,opioid,nhw,Non-Hispanic White,152,26.624459979633333,33.24,11,9.2,12.9,0,"6.6 (7.9, 5.7)"
Suffolk County (MA),Suffolk County,All opioids,opioid,nhw,Non-Hispanic White,116,31.610779532213012,31.67,-6.5,-20.6,10.1,0.388,"-10.3 (-3.0, 7.2)"
Suffolk County (NY),Suffolk County,All opioids,opioid,nhw,Non-Hispanic White,225,26.302909464343006,27.150000000000002,-12.7,-36.2,19.3,0.363,"-5.1 (-1.5, 3.9)"
Tarrant County (TX),Tarrant County,All opioids,opioid,nhw,Non-Hispanic White,57,5.956224430993793,7.56,4.2,2.2,6.2,0,"16.8 (31.9, 11.5)"
TN,Tennessee,All opioids,opioid,nhw,Non-Hispanic White,1266,25.92153604132106,25.74,8.5,7.7,9.3,0,"8.5 (9.3, 7.8)"
TX,Texas,All opioids,opioid,nhw,Non-Hispanic White,951,7.861733162944611,7.68,1.5,0.5,2.5,0.008,"46.6 (139.0, 28.1)"
Union County (NJ),Union County,All opioids,opioid,nhw,Non-Hispanic White,51,25.65991701665182,30.29,16.9,14.1,19.7,0,"4.4 (5.3, 3.9)"
UT,Utah,All opioids,opioid,nhw,Non-Hispanic White,350,14.642201986947606,14.93,-7.1,-14.6,1.1,0.082,"-9.4 (-4.4, 63.4)"
VA,Virginia,All opioids,opioid,nhw,Non-Hispanic White,926,18.2081599616706,17.979999999999997,-2.2,-23.2,24.4,0.838,"-31.2 (-2.6, 3.2)"
VT,Vermont,All opioids,opioid,nhw,Non-Hispanic White,103,20.225685070403614,24.22,13.9,10.2,17.8,0,"5.3 (7.1, 4.2)"
WA,Washington,All opioids,opioid,nhw,Non-Hispanic White,656,11.80161799304961,10.8,-0.3,-1.2,0.6,0.467,"-230.7 (-57.4, 115.9)"
Wake County (NC),Wake County,All opioids,opioid,nhw,Non-Hispanic White,81,12.204550280545247,13.129999999999999,9.1,6.3,12,0,"8.0 (11.3, 6.1)"
Wayne County (MI),Wayne County,All opioids,opioid,nhw,Non-Hispanic White,317,36.95490078181139,38.37,-3.4,-21.4,18.7,0.724,"-20.0 (-2.9, 4.0)"
Westchester County (NY),Westchester County,All opioids,opioid,nhw,Non-Hispanic White,58,13.514758149182418,21.56,10.4,7.1,13.9,0,"7.0 (10.1, 5.3)"
WI,Wisconsin,All opioids,opioid,nhw,Non-Hispanic White,715,15.922290388863045,15.8,-0.6,-19.2,22.3,0.953,"-115.2 (-3.3, 3.4)"
WV,West Virginia,All opioids,opioid,nhw,Non-Hispanic White,624,42.14365681426154,54.449999999999996,10.3,8,12.6,0,"7.1 (9.0, 5.8)"
WY,Wyoming,All opioids,opioid,nhw,Non-Hispanic White,42,8.722587765268663,8.7,0.6,-4.4,5.8,0.817,"115.9 (-15.4, 12.3)"
Adams County (CO),Adams County,All opioids,opioid,total,Total,378,11.066053052299388,10.3,1.9,0.3,3.5,0.026,"36.8 (231.4, 20.1)"
AK,Alaska,All opioids,opioid,total,Total,83,10.793863358452732,11.139999999999999,0.7,-2.8,4.3,0.695,"99.4 (-24.4, 16.5)"
AL,Alabama,All opioids,opioid,total,Total,414,8.947276154660887,8.69,-1.8,-24.1,27.1,0.878,"-38.2 (-2.5, 2.9)"
Alameda County (CA),Alameda County,All opioids,opioid,total,Total,103,5.782808476404788,4.52,10.2,4.9,15.8,0.001,"7.1 (14.5, 4.7)"
Allegheny County (PA),Allegheny County,All opioids,opioid,total,Total,449,38.12827096202588,34.160000000000004,-20.9,-47.2,18.4,0.231,"-3.0 (-1.1, 4.1)"
AR,Arkansas,All opioids,opioid,total,Total,198,6.967680377995262,7.1,1.8,-0.1,3.7,0.056,"38.9 (-692.8, 19.1)"
AZ,Arizona,All opioids,opioid,total,Total,1290,18.312537121771815,18.1,15.5,13.6,17.4,0,"4.8 (5.4, 4.3)"
Baltimore city (MD),Baltimore city,All opioids,opioid,total,Total,669,104.91174066030366,114.72,24,19.5,28.6,0,"3.2 (3.9, 2.8)"
Baltimore County (MD),Baltimore County,All opioids,opioid,total,Total,341,41.30449061544699,42.99,-9,-24.9,10.2,0.298,"-7.3 (-2.4, 7.1)"
Bexar County (TX),Bexar County,All opioids,opioid,total,Total,135,6.5868434711601616,6.09,4.5,-4.4,14.2,0.299,"15.7 (-15.4, 5.2)"
Bronx County (NY),Bronx County,All opioids,opioid,total,Total,339,23.30522071294055,25.37,18.3,12.4,24.5,0,"4.1 (5.9, 3.2)"
Broward County (FL),Broward County,All opioids,opioid,total,Total,261,13.360951015033987,12.34,-10.1,-34.8,23.9,0.476,"-6.5 (-1.6, 3.2)"
CA,California,All opioids,opioid,total,Total,3235,7.881859684563902,6.1499999999999995,3,1.7,4.3,0,"23.4 (41.1, 16.5)"
Caddo Parish (LA),Caddo Parish,All opioids,opioid,total,Total,NA,NA,4.54,17.5,3,34.1,0.02,"4.3 (23.4, 2.4)"
Charleston County (SC),Charleston County,All opioids,opioid,total,Total,75,17.23452682626071,18.58,12.8,10.1,15.6,0,"5.8 (7.2, 4.8)"
Chatham County (GA),Chatham County,All opioids,opioid,total,Total,23,7.878357227187264,11.6,13.5,9.9,17.1,0,"5.5 (7.3, 4.4)"
Clark County (NV),Clark County,All opioids,opioid,total,Total,254,10.73199268336949,11.05,-4.1,-5.3,-3,0,"-16.6 (-12.7, -22.8)"
CO,Colorado,All opioids,opioid,total,Total,633,10.536557649223193,10.33,3.8,2.7,5,0,"18.6 (26.0, 14.2)"
Cobb County (GA),Cobb County,All opioids,opioid,total,Total,72,9.154997904153653,9.49,-14.9,-30.3,3.9,0.104,"-4.3 (-1.9, 18.1)"
Contra Costa County (CA),Contra Costa County,All opioids,opioid,total,Total,90,7.824247213543112,8.08,26.2,-1.1,61.1,0.06,"3.0 (-62.7, 1.5)"
Cook County (IL),Cook County,All opioids,opioid,total,Total,1139,21.239405071439897,22.64,15.5,10.1,21.2,0,"4.8 (7.2, 3.6)"
CT,Connecticut,All opioids,opioid,total,Total,1100,31.65012679767533,31.779999999999998,10.3,5.4,15.4,0,"7.1 (13.2, 4.8)"
Cumberland County (NC),Cumberland County,All opioids,opioid,total,Total,78,23.99256268736005,23.51,-1.3,-32,43.2,0.939,"-53.0 (-1.8, 1.9)"
Cuyahoga County (OH),Cuyahoga County,All opioids,opioid,total,Total,418,33.478706343956375,43.74,15.5,12.5,18.5,0,"4.8 (5.9, 4.1)"
Dallas County (TX),Dallas County,All opioids,opioid,total,Total,177,6.448356624084788,6.78,4.5,3.1,5.9,0,"15.7 (22.7, 12.1)"
Davidson County (TN),Davidson County,All opioids,opioid,total,Total,277,38.391206179718395,36.28,18.2,14.8,21.7,0,"4.1 (5.0, 3.5)"
DC,District of Columbia,All opioids,opioid,total,Total,243,33.38150142170497,32.260000000000005,4.1,-16.3,29.3,0.699,"17.3 (-3.9, 2.7)"
DE,Delaware,All opioids,opioid,total,Total,387,43.27423779862647,46.720000000000006,32.5,18.5,48.1,0,"2.5 (4.1, 1.8)"
DeKalb County (GA),DeKalb County,All opioids,opioid,total,Total,59,7.577845509876466,7.96,12.2,9.6,14.9,0,"6.0 (7.6, 5.0)"
Delaware County (PA),Delaware County,All opioids,opioid,total,Total,152,28.53432216764339,28.1,-3,-34.7,44,0.868,"-22.8 (-1.6, 1.9)"
District of Columbia (DC),District of Columbia,All opioids,opioid,total,Total,243,33.38150142170497,32.260000000000005,4.1,-16.3,29.3,0.699,"17.3 (-3.9, 2.7)"
Durham County (NC),Durham County,All opioids,opioid,total,Total,29,8.768035468299635,9.93,7.2,4.1,10.5,0,"10.0 (17.3, 6.9)"
Duval County (FL),Duval County,All opioids,opioid,total,Total,331,35.33469746449808,38.87,18,13.9,22.1,0,"4.2 (5.3, 3.5)"
East Baton Rouge Parish (LA),East Baton Rouge Parish,All opioids,opioid,total,Total,39,10.008091701671741,10.4,45.8,3.7,105.1,0.033,"1.8 (19.1, 1.0)"
Erie County (NY),Erie County,All opioids,opioid,total,Total,142,16.32889156949759,16.3,-17.7,-38.1,9.4,0.158,"-3.6 (-1.4, 7.7)"
Essex County (NJ),Essex County,All opioids,opioid,total,Total,290,33.22108840766764,37.18,26.6,21,32.5,0,"2.9 (3.6, 2.5)"
Fairfax County (VA),Fairfax County,All opioids,opioid,total,Total,87,7.310322807029944,6.87,-14.5,-44.7,32.4,0.444,"-4.4 (-1.2, 2.5)"
FL,Florida,All opioids,opioid,total,Total,3771,18.673363673305392,18.41,9.8,-2.7,23.9,0.115,"7.4 (-25.3, 3.2)"
Fort Bend County (TX),Fort Bend County,All opioids,opioid,total,Total,24,3.143450594377225,3.55,3.1,-0.5,6.8,0.086,"22.7 (-138.3, 10.5)"
Franklin County (OH),Franklin County,All opioids,opioid,total,Total,504,37.43673194098317,39.01,20.6,15.4,25.9,0,"3.7 (4.8, 3.0)"
Fulton County (GA),Fulton County,All opioids,opioid,total,Total,81,7.066021636387395,9.76,6.1,3.9,8.4,0,"11.7 (18.1, 8.6)"
GA,Georgia,All opioids,opioid,total,Total,862,8.163428923748896,7.970000000000001,-7.8,-24.3,12.4,0.394,"-8.5 (-2.5, 5.9)"
Guilford County (NC),Guilford County,All opioids,opioid,total,Total,108,20.904110492398765,20.24,3.7,-25.2,43.8,0.809,"19.1 (-2.4, 1.9)"
Gwinnett County (GA),Gwinnett County,All opioids,opioid,total,Total,54,5.708038236326181,8.18,8.6,6.1,11.1,0,"8.4 (11.7, 6.6)"
Hamilton County (OH),Hamilton County,All opioids,opioid,total,Total,319,39.70376283163131,38.839999999999996,-10.7,-37,26.5,0.501,"-6.1 (-1.5, 2.9)"
Harris County (TX),Harris County,All opioids,opioid,total,Total,325,6.6914001168097546,5.89,0.8,-1.1,2.8,0.398,"87.0 (-62.7, 25.1)"
Hartford County (CT),Hartford County,All opioids,opioid,total,Total,316,35.97757617291717,34.75,6.8,-8.1,24,0.352,"10.5 (-8.2, 3.2)"
Hennepin County (MN),Hennepin County,All opioids,opioid,total,Total,161,12.37195998473368,12.16,7.7,6.4,9,0,"9.3 (11.2, 8.0)"
HI,Hawaii,All opioids,opioid,total,Total,55,3.488362761083892,3.9699999999999998,-1.6,-3.5,0.5,0.12,"-43.0 (-19.5, 139.0)"
Hillsborough County (FL),Hillsborough County,All opioids,opioid,total,Total,215,14.052003937512,15.15,13.1,5.1,21.6,0.004,"5.6 (13.9, 3.5)"
IA,Iowa,All opioids,opioid,total,Total,161,5.344561200154004,5.85,0.5,-1.6,2.5,0.647,"139.0 (-43.0, 28.1)"
ID,Idaho,All opioids,opioid,total,Total,133,7.535798408185854,7.22,4.4,3.4,5.5,0,"16.1 (20.7, 12.9)"
IL,Illinois,All opioids,opioid,total,Total,2219,17.51639513941936,17.310000000000002,-0.8,-19.7,22.4,0.932,"-86.3 (-3.2, 3.4)"
IN,Indiana,All opioids,opioid,total,Total,1254,19.921242954911385,19.34,4.1,-9.6,19.9,0.538,"17.3 (-6.9, 3.8)"
Jackson County (MO),Jackson County,All opioids,opioid,total,Total,61,8.769115215695358,8.92,1.2,-1.6,4,0.382,"58.1 (-43.0, 17.7)"
Jefferson County (AL),Jefferson County,All opioids,opioid,total,Total,143,22.32289738472803,22.53,-3,-24.1,24,0.797,"-22.8 (-2.5, 3.2)"
Jefferson County (KY),Jefferson County,All opioids,opioid,total,Total,281,38.37057354670411,42.44,22.7,19.5,26,0,"3.4 (3.9, 3.0)"
Jefferson Parish (LA),Jefferson Parish,All opioids,opioid,total,Total,127,29.497115761157513,29.05,-3.9,-28.6,29.3,0.77,"-17.4 (-2.1, 2.7)"
King County (WA),King County,All opioids,opioid,total,Total,297,12.216574682545842,10.39,1.9,0.8,2.9,0.001,"36.8 (87.0, 24.2)"
Kings County (NY),Kings County,All opioids,opioid,total,Total,277,10.23666004207735,9.79,0.1,-10.3,11.6,0.988,"693.5 (-6.4, 6.3)"
KS,Kansas,All opioids,opioid,total,Total,184,6.642783942159381,6.1,2.6,0.7,4.5,0.01,"27.0 (99.4, 15.7)"
KY,Kentucky,All opioids,opioid,total,Total,1036,24.75193317767819,23.919999999999998,-5.2,-23,16.6,0.587,"-13.0 (-2.7, 4.5)"
LA,Louisiana,All opioids,opioid,total,Total,558,12.576980424169363,12.39,17.3,14.5,20.2,0,"4.3 (5.1, 3.8)"
Lake County (IN),Lake County,All opioids,opioid,total,Total,124,26.876203506940588,27.01,21.9,18.1,25.8,0,"3.5 (4.2, 3.0)"
Los Angeles County (CA),Los Angeles County,All opioids,opioid,total,Total,715,6.829029637277103,6.659999999999999,30.6,5.8,61.2,0.016,"2.6 (12.3, 1.5)"
MA,Massachusetts,All opioids,opioid,total,Total,1969,28.84305647956469,28.759999999999998,-0.8,-9.3,8.6,0.851,"-86.3 (-7.1, 8.4)"
Maricopa County (AZ),Maricopa County,All opioids,opioid,total,Total,899,20.272385855526,20.810000000000002,23.3,19.8,26.8,0,"3.3 (3.8, 2.9)"
Marion County (IN),Marion County,All opioids,opioid,total,Total,294,31.170404714370115,31.41,13.5,-1.5,30.7,0.075,"5.5 (-45.9, 2.6)"
MD,Maryland,All opioids,opioid,total,Total,2104,33.801202061202524,33.760000000000005,0.3,-13.5,16.3,0.965,"231.4 (-4.8, 4.6)"
ME,Maine,All opioids,opioid,total,Total,323,26.518062858973718,26.06,-0.6,-10.9,10.8,0.898,"-115.2 (-6.0, 6.8)"
Mecklenburg County (NC),Mecklenburg County,All opioids,opioid,total,Total,151,12.818542735223854,13.07,-7.8,-23.6,11.3,0.368,"-8.5 (-2.6, 6.5)"
MI,Michigan,All opioids,opioid,total,Total,1789,18.511702887717224,18.88,-6.7,-19.8,8.5,0.331,"-10.0 (-3.1, 8.5)"
Miami-Dade County (FL),Miami-Dade County,All opioids,opioid,total,Total,230,8.479801053910265,7.85,-1.7,-14.2,12.6,0.791,"-40.4 (-4.5, 5.8)"
Milwaukee County (WI),Milwaukee County,All opioids,opioid,total,Total,327,34.38933025852944,33.91,4.7,-1.5,11.3,0.127,"15.1 (-45.9, 6.5)"
MN,Minnesota,All opioids,opioid,total,Total,428,7.770723339758612,7.72,5,3.2,6.8,0,"14.2 (22.0, 10.5)"
MO,Missouri,All opioids,opioid,total,Total,1096,18.74890478024307,19.279999999999998,8.8,7.6,10,0,"8.2 (9.5, 7.3)"
Mobile County (AL),Mobile County,All opioids,opioid,total,Total,21,5.463011613382596,6.619999999999999,7.6,0,15.7,0.049,"9.5 (Inf, 4.8)"
Monroe County (NY),Monroe County,All opioids,opioid,total,Total,187,25.642882836490617,28.810000000000002,18.6,15.4,22,0,"4.1 (4.8, 3.5)"
Montgomery County (MD),Montgomery County,All opioids,opioid,total,Total,235,11.765418829361261,13.03,19.2,13.9,24.8,0,"3.9 (5.3, 3.1)"
Montgomery County (OH),Montgomery County,All opioids,opioid,total,Total,227,47.020463544694444,41.94,-32.7,-50.5,-8.5,0.016,"-1.8 (-1.0, -7.8)"
MS,Mississippi,All opioids,opioid,total,Total,245,8.527089073442479,8.07,13.1,8.9,17.5,0,"5.6 (8.1, 4.3)"
MT,Montana,All opioids,opioid,total,Total,70,7.1906881282371025,7.59,38.4,-8.9,110.3,0.117,"2.1 (-7.4, 0.9)"
Nassau County (NY),Nassau County,All opioids,opioid,total,Total,183,14.100137124514108,16.17,8,5.9,10.2,0,"9.0 (12.1, 7.1)"
NC,North Carolina,All opioids,opioid,total,Total,1817,18.085340381326333,17.74,-4.7,-17.1,9.6,0.464,"-14.4 (-3.7, 7.6)"
ND,North Dakota,All opioids,opioid,total,Total,43,5.8489552968370955,6.31,8.7,4.9,12.7,0,"8.3 (14.5, 5.8)"
NE,Nebraska,All opioids,opioid,total,Total,68,3.631498200409922,3.74,4.8,2.3,7.2,0.001,"14.8 (30.5, 10.0)"
New Castle County (DE),New Castle County,All opioids,opioid,total,Total,235,43.03313754177555,48.6,35,16.9,55.9,0,"2.3 (4.4, 1.6)"
New Haven County (CT),New Haven County,All opioids,opioid,total,Total,316,37.164001498422,40.51,21.5,15.7,27.6,0,"3.6 (4.8, 2.8)"
New York County (NY),New York County,All opioids,opioid,total,Total,263,14.214145784546785,14.38,15.7,11.2,20.3,0,"4.8 (6.5, 3.8)"
NH,New Hampshire,All opioids,opioid,total,Total,365,28.997552902811215,31.419999999999998,-1.5,-9.3,7.1,0.698,"-45.9 (-7.1, 10.1)"
NJ,New Jersey,All opioids,opioid,total,Total,2502,28.334518968541676,32.56,26.9,21.2,32.9,0,"2.9 (3.6, 2.4)"
NM,New Mexico,All opioids,opioid,total,Total,394,20.07825843838514,19.29,3.6,2.4,4.8,0,"19.6 (29.2, 14.8)"
Norfolk city (VA),Norfolk city,All opioids,opioid,total,Total,42,17.94504941236269,23.57,10.5,6.8,14.2,0,"6.9 (10.5, 5.2)"
